Name,Longitude,Latitude
5000318,09.14935,48.75806
5000319,09.09102,48.81586
5000320,09.08230,48.80854
5000321,09.22895,48.81250
5000322,09.22247,48.80919
5000323,09.21900,48.80531
5000341,09.17340,48.75178
5000342,09.17023,48.75731
5000343,09.16733,48.76003
5000344,09.16900,48.76256
5000350,09.12972,48.72686
5000353,09.15687,48.72420
5000354,09.15323,48.72872
5000355,09.12447,48.72707
5000356,09.11747,48.72896
5000360,09.16189,48.72165
5000361,09.15706,48.70966
5000363,09.17074,48.70732
5000364,09.15305,48.71041
5000370,09.15470,48.75987
5000371,09.16945,48.81192
5000372,09.20343,48.79427
5000373,09.21803,48.82314
5000374,09.15000,48.72788
5000375,09.21511,48.73716
5000376,09.15302,48.75955
5000501,09.12754,48.77838
5000502,09.12496,48.77825
5000503,09.12288,48.77557
5000504,09.12154,48.77674
5000505,09.11941,48.77560
5000506,09.12477,48.77916
5000507,09.12074,48.77926
5000508,09.11213,48.77838
5000509,09.12060,48.77878
5000510,09.11678,48.77781
5000511,09.12859,48.77910
5000512,09.12872,48.77838
5000513,09.12623,48.77777
5000514,09.12727,48.77748
5000515,09.12854,48.77633
5000516,09.12839,48.77596
5000518,09.12702,48.77563
5000519,09.12691,48.77505
5000520,09.12677,48.77416
5000522,09.12485,48.77298
5000523,09.12252,48.77428
5000524,09.12724,48.77592
5000525,09.12969,48.77675
5000526,09.13128,48.77772
5000527,09.12444,48.77952
5000528,09.12936,48.78103
5000529,09.13189,48.78119
5000530,09.12405,48.78094
5000531,09.11989,48.78036
5000532,09.11156,48.77933
5000533,09.12517,48.78239
5000534,09.12047,48.78182
5000535,09.11782,48.78206
5000536,09.12785,48.78343
5000538,09.12887,48.77513
5000539,09.13048,48.77433
5000540,09.12877,48.77299
5000541,09.12559,48.77043
5000542,09.13222,48.77441
5001003,09.02618,48.81501
5001200,09.19935,48.83626
5001300,09.24834,48.81525
5001301,08.90511,48.77160
5001302,08.95943,48.78995
5001303,08.87258,48.75527
5001400,09.13760,48.94797
5001402,09.17982,48.86194
5001403,09.15216,48.83375
5001500,09.24429,48.94378
5001503,09.19778,48.93008
5001504,09.21605,48.82059
5001601,09.41542,48.90336
5001602,09.32474,48.85932
5001603,09.35475,48.86835
5001604,09.23171,48.80386
5001701,09.35240,48.81196
5001702,09.43952,48.80525
5001703,09.41898,48.81046
5001704,09.50192,48.80031
5001705,09.48165,48.79844
5001800,09.38243,48.72031
5001801,09.27577,48.74709
