?#DB-ID;Nummer;Name;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Tarifnummer;Relationscode;Verkehrsmittel;Linien;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate;Umgebungskarte;Umgebungskarte (ME)
586;2529;Serachstraße;Serachstraße;de:8111:2529;8111000;Stuttgart;Stuttgart;S;20,31;131;131;"Nachtbus;Bus";62,65,N7;62,65,N7;30062_,30065_,33007_;3;30,33;2740471,129;5408024,146;;
587;2530;Uhlbach;Uhlbach;de:8111:2530;8111000;Stuttgart;Stuttgart;S;20;20;20;"Bus;Nachtbus";62,65,N7;62,65,N7;30062_,30065_,33007_;3;30,33;2741044,138;5409442,805;;
588;2531;Terlanerstraße;Terlanerstraße;de:8111:2531;8111000;Stuttgart;Stuttgart;S;20;20;20;"Bus;Nachtbus";62,65,N7;62,65,N7;30062_,30065_,33007_;3;30,33;2740927,174;5409208,853;;
589;2532;Asang;Asang;de:8111:2532;8111000;Stuttgart;Stuttgart;S;20,31;131;131;"Bus;Nachtbus";62,65,N7;62,65,N7;30062_,30065_,33007_;3;30,33;2740695,726;5408881,257;;
590;2533;Im Mäder;Im Mäder;de:8111:2533;8111000;Stuttgart;Stuttgart;S;20,31;131;131;"Bus;Nachtbus";62,65,N7;62,65,N7;30062_,30065_,33007_;3;30,33;2740501,596;5408419,931;;
591;2534;Otto-Hirsch-Brücken;Otto-Hirsch-Brücken;de:8111:2534;8111000;Stuttgart;Stuttgart;S;20,31;131;131;"Bus;Nachtbus";62,65,103,N7;62,65,103,N7;30062_,30065_,31103_,33007_;4;30,31,33;2739760,421;5407862,935;;
592;2535;Ährenweg;Ährenweg;de:8111:2535;8111000;Stuttgart;Stuttgart;S;20,31;131;131;"Nachtbus;Bus;Ruftaxi";62,65,N7,NT7;62,65,N7,NT7;30062_,30065_,33007_,53007_;4;30,33,53;2739165,252;5407336,735;;
593;2536;Lederberg;Lederberg;de:8111:2536;8111000;Stuttgart;Stuttgart;S;20,3;130;430;"Bus;Nachtbus";65,N7;65,N7;30065_,33007_;2;30,33;2738475,991;5406910,984;;
594;2537;Glaunerweg;Glaunerweg;de:8111:2537;8111000;Stuttgart;Stuttgart;S;20,3;130;130;"Bus;Nachtbus";65,N7;65,N7;30065_,33007_;2;30,33;2738333,338;5406388,602;;
595;2538;Heumaden Rose;Heumaden Rose;de:8111:2538;8111000;Stuttgart;Stuttgart;S;20,3;130;130;"Bus;Nachtbus";65,N7;65,N7;30065_,33007_;2;30,33;2738128,555;5406045,039;;
596;2539;Heumaden Schule;Heumaden Schule;de:8111:2539;8111000;Stuttgart;Stuttgart;S;20,3;130;130;"Nachtbus;Bus";65,N7;65,N7;30065_,33007_;2;30,33;2737711,944;5406019,609;;
597;2540;Frauenkopf;Frauenkopf;de:8111:2540;8111000;Stuttgart;Stuttgart;S;20;20;620;Bus;64;64;30064_;1;30;2737196,923;5407652,735;;
598;2541;Eselweg;Eselweg;de:8111:2541;8111000;Stuttgart;Stuttgart;S;20;20;620;Bus;64;64;30064_;1;30;2736731,86;5407662,446;;
599;2542;Filderblickweg;Filderblickweg;de:8111:2542;8111000;Stuttgart;Stuttgart;S;20;20;620;Bus;64;64;30064_;1;30;2736390,64;5407629,97;;
600;2543;Obertürkh. Bf (Göppinger Str.);Obertürkh. Bf (Göppinger Str.);de:8111:2543;8111000;Stuttgart;Stuttgart;S;20,31;131;131;"Bus;Nachtbus";61,62,65,N7;61,62,65,N7;30061_,30062_,30065_,33007_;4;30,33;2740315,253;5407938,884;uobert.pdf;
